"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"220","220","8","control","0","31","3","0","1","0","0","0","2","7","0","0","0","0","5","0","0","0","0","0","0"
"221","221","8","control","0","25","9","0","0","1","1","1","1","9","0","0","0","3","10","0","0","0","0","0","0"
"222","222","8","control","0","17","6","0","0","0","3","1","0","9","0","0","0","0","8","0","0","0","0","0","0"
"223","223","8","control","0","18","3","0","0","0","0","0","0","3","0","0","0","0","15","0","0","0","0","0","0"
"224","224","8","control","0","33","5","0","1","0","10","5","0","10","0","0","0","0","11","0","0","0","0","0","0"
"225","225","8","control","0","32","4","0","2","0","9","4","0","9","0","0","0","0","3","0","0","0","0","0","0"
"226","226","8","control","0","34","5","0","3","0","6","2","2","9","0","0","0","1","0","0","1","0","0","0","0"
"227","227","8","control","0","38","7","0","0","0","6","4","0","3","0","0","0","2","0","0","2","0","0","0","0"
"228","228","8","control","0","63","11","0","0","0","9","6","1","6","0","0","1","4","0","0","7","0","0","0","0"
"229","229","8","control","0","72","13","0","1","0","11","4","2","12","0","0","0","3","6","0","9","0","0","0","0"
"230","230","8","control","0","47","9","0","0","2","11","2","1","7","0","0","0","6","25","0","10","0","0","0","0"
"231","231","8","control","0","37","14","0","6","0","17","4","1","4","0","0","0","7","15","0","1","0","0","0","2"
"232","232","8","control","0","46","11","0","4","0","15","7","1","6","0","0","0","7","18","0","0","0","0","0","0"
"233","233","8","control","0","41","16","1","1","0","10","9","0","7","0","0","0","7","24","0","0","0","0","0","0"
"234","234","8","control","0","36","11","1","5","0","10","6","0","6","0","0","0","1","17","0","1","0","0","2","0"
"235","235","8","control","0","30","10","1","5","0","16","8","0","3","0","0","0","5","3","0","1","0","0","0","0"
"236","236","8","control","0","38","6","1","5","0","10","7","0","1","0","0","0","5","0","0","0","0","0","0","0"
"237","237","8","control","0","42","8","1","2","0","13","6","1","0","0","0","0","0","0","0","2","0","0","0","0"
"238","238","8","control","0","34","6","1","2","0","13","3","1","0","0","0","0","0","0","0","1","0","0","0","0"
"239","239","8","control","0","51","8","1","1","0","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","240","8","control","0","45","13","1","1","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","241","4","control","0","31","0","0","1","0","2","3","0","0","0","0","0","0","3","0","0","0","0","0","0"
"242","242","8","control","0","32","2","0","2","0","6","3","0","0","0","0","0","0","7","0","0","0","0","0","0"
"243","243","8","control","0","53","6","0","6","0","4","1","1","1","0","0","0","2","10","0","0","0","0","0","0"
"244","244","8","control","0","28","5","1","4","0","6","1","1","0","0","0","0","0","13","0","0","0","0","0","0"
"245","245","8","control","0","27","3","1","0","0","6","10","0","0","0","0","0","0","16","0","0","0","0","0","0"
"246","246","8","control","0","24","4","0","2","0","5","10","0","1","0","0","0","1","16","0","0","0","0","0","0"
"247","247","8","control","0","27","8","1","3","0","7","9","0","0","0","0","0","0","18","0","0","0","0","0","0"
"248","248","8","control","0","31","7","1","1","0","10","9","0","0","0","0","0","2","2","0","0","0","0","0","0"
"249","249","8","control","0","40","10","1","0","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","250","8","control","0","40","4","1","1","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","251","8","control","0","38","8","1","2","0","11","4","1","0","0","0","0","0","0","0","1","0","0","0","0"
"252","252","8","control","0","37","7","1","1","0","6","6","0","0","0","0","0","3","0","0","1","0","0","0","0"
"253","253","8","control","0","35","8","1","2","0","5","6","0","0","0","0","0","2","0","0","1","0","0","0","0"
"254","254","8","control","0","39","12","2","2","0","4","4","0","0","0","0","0","0","4","0","0","0","0","0","0"
"255","255","8","control","0","27","10","1","2","0","5","8","0","0","0","0","0","2","5","0","0","0","0","0","0"
"256","256","8","control","0","22","8","1","1","0","3","5","0","0","0","0","0","0","6","0","0","0","0","0","0"
"257","257","8","control","0","2","0","0","2","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0"
"258","258","8","control","0","12","4","0","1","0","2","3","0","0","0","0","0","0","15","0","0","0","0","0","0"
"259","259","8","control","0","14","2","0","1","0","6","7","0","0","0","0","0","0","23","0","0","0","0","1","0"
"260","260","8","control","0","6","3","0","2","0","2","10","0","0","0","0","0","0","17","0","1","0","0","0","0"
"261","261","8","control","0","12","9","0","3","0","2","15","0","0","0","0","0","0","13","0","0","0","0","1","0"
"262","262","8","control","0","12","8","0","3","0","2","28","0","0","0","0","0","0","16","0","0","0","0","0","0"
"263","263","8","control","0","17","5","0","1","0","6","21","0","0","0","0","0","0","22","0","1","0","0","0","0"
"264","264","8","control","0","16","11","0","1","0","6","19","0","0","0","0","0","0","13","0","0","0","0","1","0"
"265","265","8","control","0","15","10","0","2","0","2","20","0","0","0","0","0","0","25","0","0","0","0","2","0"
"266","266","8","control","0","14","5","0","0","0","6","28","0","0","0","0","0","0","32","0","0","0","0","0","0"
"267","267","5","control","0","9","2","0","1","0","0","18","0","0","0","0","0","0","11","0","0","0","0","1","0"
"268","268","8","control","0","19","3","0","1","0","10","25","0","0","0","0","0","0","27","0","0","0","0","0","0"
"269","269","8","control","0","23","4","0","1","0","11","18","0","0","0","0","0","0","6","0","0","0","0","0","0"
"270","270","8","control","0","20","4","0","3","0","13","10","1","0","0","0","0","0","1","0","1","0","0","0","0"
"271","271","8","control","0","15","3","0","2","0","14","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","272","8","control","0","19","1","0","2","0","7","8","0","0","0","0","0","0","0","0","1","0","0","0","0"
"273","273","8","control","0","14","0","0","0","0","4","9","0","0","0","0","0","0","2","0","1","0","0","0","0"
"274","274","8","control","0","20","0","0","2","0","6","6","0","1","0","0","0","1","12","0","0","0","0","0","0"
"275","275","8","control","0","20","5","0","1","0","4","2","0","2","0","0","0","1","8","0","0","0","0","0","0"
"276","276","8","control","0","26","4","0","4","0","2","9","1","1","0","0","0","0","9","0","0","0","0","1","0"
"277","277","4","control","0","15","2","0","3","0","0","6","0","0","0","0","0","0","11","0","0","0","0","1","0"
"278","278","4","control","0","9","5","0","0","0","3","11","0","2","0","0","0","0","18","0","0","0","0","0","0"
"279","279","8","control","0","25","4","0","1","0","14","23","1","2","0","0","0","0","33","0","0","0","0","0","0"
"280","280","8","control","0","29","5","0","0","0","8","20","1","1","0","0","0","0","24","0","0","0","0","0","0"
"281","281","8","control","0","28","10","0","2","0","18","23","1","5","0","0","0","0","12","0","0","0","0","1","0"
"282","282","8","control","0","25","15","0","5","0","12","22","3","0","0","0","0","0","2","0","0","0","0","1","0"
"283","283","4","control","0","9","5","0","3","0","7","7","2","0","0","0","0","0","2","0","0","0","0","0","0"
"284","284","4","control","0","9","6","0","1","0","7","6","3","0","0","0","0","0","0","0","0","0","0","0","0"
"285","285","8","control","0","23","12","0","3","0","2","16","2","0","0","0","0","0","3","0","1","0","0","1","0"
"286","286","8","control","0","30","17","0","2","0","5","14","0","2","0","0","0","0","9","0","0","0","0","0","0"
"287","287","8","control","0","25","21","0","3","0","6","13","0","2","0","1","0","0","23","0","0","0","0","1","0"
"288","288","8","control","0","25","20","0","2","0","2","22","6","1","0","0","0","0","21","0","0","0","0","0","0"
"289","289","8","control","0","16","18","0","2","0","3","26","3","0","0","0","0","0","24","0","0","0","0","0","0"
"290","290","8","control","0","14","15","0","1","0","2","25","2","1","0","2","0","0","36","0","0","0","0","0","0"
"291","291","8","control","0","10","5","0","2","0","1","6","0","0","0","1","0","0","9","0","0","0","0","0","0"
"292","292","8","control","0","17","7","0","3","1","4","24","0","1","0","0","0","0","23","0","0","0","0","0","0"
"293","293","8","control","0","16","12","0","2","1","9","28","0","1","0","0","0","0","12","0","0","0","1","1","0"
"294","294","8","control","0","17","13","0","2","1","6","31","3","1","0","0","0","0","7","0","0","0","1","0","0"
"295","295","8","control","0","17","8","0","2","1","2","27","0","0","0","0","0","0","4","0","0","1","2","0","0"
"296","296","8","control","0","26","21","0","2","0","6","31","6","2","0","0","0","0","7","0","2","0","0","0","0"
"297","297","8","control","0","27","26","0","1","1","8","34","7","4","0","1","0","0","8","0","0","0","4","0","0"
"298","298","8","control","0","23","23","0","3","1","10","29","6","0","0","2","0","0","27","0","1","0","5","0","0"
"299","299","8","control","0","23","17","0","3","5","18","27","2","2","0","2","0","0","34","0","1","0","3","1","0"
"300","300","8","control","0","23","16","0","2","4","17","35","0","6","0","2","0","0","35","0","1","0","2","1","0"
"301","301","8","control","0","21","15","0","1","1","15","32","0","2","0","2","0","0","40","0","0","0","1","1","0"
"302","302","8","control","0","18","9","0","4","0","11","31","2","2","0","2","0","0","38","0","0","0","1","1","0"
"303","303","8","control","0","18","8","1","1","1","10","26","2","1","0","0","0","0","29","0","0","0","0","0","0"
"304","304","8","control","0","16","11","0","0","2","15","23","2","1","0","0","0","0","7","0","0","0","0","0","0"
"305","305","8","control","0","16","7","0","1","1","14","18","5","0","0","0","0","0","5","0","1","0","0","0","0"
"306","306","8","control","0","13","9","0","2","0","6","13","3","0","0","1","0","0","1","0","0","0","0","0","0"
"307","307","8","control","0","21","7","0","1","0","5","12","2","0","0","0","0","0","0","0","0","0","0","0","0"
"308","308","8","control","0","18","8","0","1","2","5","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","309","8","control","0","17","10","0","2","0","4","8","3","0","0","0","0","0","1","0","0","0","0","0","0"
"310","310","8","control","0","13","3","0","0","0","3","10","0","0","0","0","0","0","3","0","0","0","0","0","0"
"311","311","7","control","0","13","4","0","1","0","4","2","0","0","0","0","0","0","10","0","0","0","0","0","0"
"312","312","8","control","0","19","15","0","1","0","3","7","0","0","0","1","0","0","15","0","0","0","0","0","0"
"313","313","8","control","0","13","12","0","2","0","8","13","0","0","0","1","0","0","22","0","0","0","0","0","0"
"314","314","8","control","0","14","8","0","0","1","3","19","0","0","0","1","0","0","24","0","0","0","0","0","0"
"315","315","8","control","0","10","6","0","0","0","4","13","0","0","0","1","0","0","24","0","0","0","0","0","0"
"316","316","8","control","0","5","3","0","0","0","1","14","0","0","0","0","0","0","34","0","0","0","0","0","0"
"317","317","8","control","0","10","7","0","1","0","5","21","2","0","0","0","0","0","25","0","0","0","0","0","0"
"318","318","4","control","0","2","2","0","0","0","3","18","2","0","0","0","0","0","6","0","0","0","0","0","0"
"319","319","8","control","0","16","8","0","1","0","4","17","1","0","0","1","0","0","4","0","0","0","0","0","0"
"320","320","8","control","0","8","14","0","2","0","3","16","2","0","0","0","0","1","3","0","0","0","0","0","0"
"321","321","7","control","0","13","13","0","0","0","1","8","0","0","0","0","0","0","11","0","0","0","0","0","0"
"322","322","8","control","0","11","9","0","0","0","1","7","0","0","0","0","0","0","25","0","0","0","0","0","0"
"323","323","8","control","0","12","14","0","0","0","5","8","0","0","0","0","0","0","21","0","0","0","0","0","0"
"324","324","8","control","0","13","15","0","0","0","3","10","0","0","0","0","0","0","31","0","0","0","0","0","0"
"325","325","8","control","0","10","9","0","0","0","4","15","1","0","0","9","0","0","39","0","0","0","0","0","0"
"326","326","8","control","0","12","10","0","0","0","3","22","0","0","0","8","0","0","59","0","0","0","0","0","0"
"327","327","8","control","0","12","12","0","0","0","6","33","0","0","0","4","0","0","55","0","0","0","0","0","0"
"328","328","8","control","0","9","10","0","0","2","6","34","2","1","0","3","0","0","45","0","0","0","0","0","0"
"329","329","8","control","0","14","12","0","1","2","16","31","2","4","0","0","0","0","20","0","0","0","0","0","0"
"330","330","8","control","0","12","11","0","1","1","9","18","2","0","0","1","0","0","2","0","3","0","0","0","0"
"331","331","8","control","0","13","14","0","0","0","10","19","1","0","0","0","0","1","2","0","1","0","0","0","0"
"332","332","8","control","0","12","14","0","1","0","8","18","2","0","0","0","0","1","3","0","2","0","0","0","0"
"333","333","8","control","0","18","7","0","0","0","2","14","4","1","0","0","0","0","5","0","0","1","0","0","0"
"334","334","8","control","0","15","8","0","0","0","6","14","3","3","0","1","0","0","13","0","0","0","0","0","0"
"335","335","8","control","0","21","9","0","0","0","3","10","0","1","0","1","0","0","35","0","0","0","0","0","0"
"336","336","8","control","0","16","9","0","0","1","2","13","0","1","0","0","0","1","34","0","0","0","0","0","0"
"337","337","4","control","0","6","6","0","0","0","0","2","0","0","0","0","0","0","29","0","0","0","0","0","0"
"338","338","8","control","0","14","7","0","0","0","0","17","0","1","0","0","0","0","61","0","0","0","0","0","0"
"339","339","4","control","0","5","3","0","0","0","1","2","0","0","0","0","0","0","9","0","0","0","0","0","0"
"340","340","8","control","0","4","2","0","0","0","0","6","0","0","0","0","0","0","25","0","0","0","0","0","0"
"341","341","8","control","0","12","1","0","1","0","0","14","0","0","0","0","0","0","41","0","0","0","0","0","0"
"342","342","8","control","0","11","4","0","1","0","3","21","1","0","0","0","0","1","85","0","0","0","0","1","0"
"343","343","8","control","0","17","6","0","1","0","2","30","5","0","0","0","0","0","60","0","0","0","0","3","0"
"344","344","4","control","0","5","6","0","0","4","3","17","3","0","0","0","0","0","13","0","1","0","0","3","0"
"345","345","8","control","0","18","12","0","3","0","3","36","3","0","0","0","0","0","34","0","1","0","0","11","0"
"346","346","8","control","0","14","17","0","1","0","7","29","3","2","0","0","0","0","70","0","1","0","0","15","0"
"347","347","8","control","0","19","11","0","1","0","5","35","6","0","0","0","0","1","46","0","2","0","0","15","0"
"348","348","8","control","0","17","11","0","3","0","11","53","2","2","0","0","0","5","51","0","0","0","1","12","0"
"349","349","8","control","0","23","21","0","2","0","6","68","2","1","0","0","0","2","65","0","2","0","2","12","0"
"350","350","8","control","0","19","17","0","1","1","10","71","2","2","0","0","1","0","83","0","1","0","1","2","0"
"351","351","4","control","1","5","7","0","3","1","5","36","0","0","0","0","0","1","35","0","2","0","0","1","0"
"352","352","8","control","1","22","20","0","0","1","21","53","0","3","0","0","3","1","66","0","0","0","6","2","0"
"353","353","8","control","8","29","23","0","2","2","22","42","5","3","0","0","0","3","19","0","2","0","7","0","0"
"354","354","8","control","8","27","25","0","2","3","25","36","3","6","0","0","5","3","12","0","9","0","1","4","0"
"355","355","8","control","4","32","27","0","2","3","11","26","4","0","0","0","2","3","0","0","9","0","4","0","0"
"356","356","8","control","0","26","25","1","1","2","8","21","1","0","0","0","4","0","0","0","5","0","3","1","0"
"357","357","8","control","0","34","24","1","2","1","6","22","0","0","0","0","2","3","1","0","5","0","4","0","0"
"358","358","8","control","0","34","25","1","1","0","9","23","1","0","0","0","1","1","3","0","3","0","1","1","0"
"359","359","8","control","3","31","28","2","1","0","6","21","0","1","0","0","0","5","19","0","5","0","4","2","0"
"360","360","8","control","4","34","36","2","4","2","7","23","1","5","0","0","1","5","34","0","5","0","6","1","0"
"361","361","8","control","4","35","30","3","2","0","9","20","2","6","0","0","0","3","26","0","1","0","5","0","0"
"362","362","8","control","1","35","29","4","2","0","8","20","0","8","0","0","0","2","34","0","1","0","1","0","0"
"363","363","8","control","0","20","19","1","1","0","4","6","0","2","0","0","0","0","11","0","0","0","2","0","0"
"364","364","8","control","0","10","10","3","1","0","6","12","0","0","0","0","0","0","21","0","0","0","1","0","0"
"365","365","8","control","0","12","11","2","3","0","7","12","0","1","0","0","0","0","21","0","0","0","0","0","0"
"366","366","8","control","0","14","13","4","2","0","8","11","1","1","0","0","0","0","5","0","0","0","0","0","0"
"367","367","8","control","0","20","17","3","4","0","1","9","2","1","0","0","0","0","1","0","0","0","1","0","0"
"368","368","8","control","0","21","18","2","1","0","1","9","1","0","0","0","0","0","0","0","0","0","0","0","0"
"369","369","8","control","1","18","17","1","3","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"370","370","8","control","1","23","14","1","3","0","2","5","2","0","0","0","0","0","0","0","2","0","0","0","0"
"371","371","8","control","0","19","21","0","3","1","3","3","0","1","0","0","0","0","6","0","0","0","0","0","0"
"372","372","8","control","2","15","19","0","3","1","4","8","0","1","0","0","0","0","22","0","0","0","2","0","0"
"373","373","8","control","2","20","22","0","1","1","2","11","1","2","0","0","0","0","24","0","0","0","1","0","0"
"374","374","8","control","1","14","19","1","1","0","1","10","0","0","0","0","0","0","30","0","0","0","1","0","0"
"375","375","8","control","1","15","13","2","1","1","1","8","0","0","0","0","0","0","23","0","0","0","0","0","0"
"376","376","8","control","0","14","10","2","2","0","2","6","1","0","0","0","0","0","9","0","0","0","0","0","0"
"377","377","8","control","0","12","3","3","1","0","1","4","0","0","0","0","0","0","2","0","0","0","0","0","0"
"378","378","8","control","0","8","2","2","1","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","379","8","control","0","9","1","2","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","380","8","control","0","7","1","2","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"381","381","8","control","0","8","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"382","382","8","control","0","10","1","1","1","1","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0"
"383","383","8","control","0","11","1","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0"
"384","384","8","control","0","15","0","0","0","0","1","1","0","0","0","0","0","0","8","0","0","0","0","0","0"
"385","385","8","control","0","16","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0"
"386","386","8","control","0","11","0","0","0","0","2","2","0","0","0","0","0","0","18","0","0","0","0","0","0"
"387","387","8","control","0","12","2","0","1","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0"
"388","388","8","control","0","15","1","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0"
"389","389","8","control","0","20","2","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"390","390","8","control","0","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","391","8","control","0","18","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"392","392","8","control","0","20","4","0","0","0","1","0","0","1","0","0","0","0","20","0","0","0","0","0","0"
"393","393","8","control","0","20","1","0","0","0","1","0","0","1","0","0","0","0","33","0","0","0","0","0","0"
"394","394","8","control","0","9","2","0","0","0","0","0","0","1","0","0","0","0","28","0","0","0","0","0","0"
"395","395","8","control","0","9","1","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0"
"396","396","8","control","0","14","1","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0"
"397","397","8","control","0","11","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0"
"398","398","8","control","0","13","0","0","0","0","2","1","0","0","0","0","0","0","67","0","0","0","0","0","0"
"399","399","8","control","0","13","0","0","0","0","2","1","1","1","0","0","0","0","70","0","0","0","0","0","0"
"400","400","4","control","0","10","0","0","0","1","1","1","5","0","0","0","0","0","2","0","0","0","0","0","0"
"401","401","8","control","0","26","2","0","0","4","0","2","8","2","0","0","0","0","2","0","1","1","0","0","0"
"402","402","8","control","0","23","0","0","0","6","1","2","2","6","0","0","0","0","10","0","2","1","0","0","0"
"403","403","8","control","0","23","2","0","0","2","0","3","4","5","0","0","0","0","27","0","0","0","0","0","0"
"404","404","8","control","0","28","0","0","1","4","2","2","2","1","0","0","0","0","50","0","0","0","0","0","0"
"405","405","6","control","0","28","3","0","1","1","0","3","3","2","0","0","0","0","47","0","1","0","0","0","0"
"406","406","8","control","0","39","1","0","1","0","1","3","2","1","0","0","0","0","78","0","0","0","0","0","0"
"407","407","8","control","0","41","2","0","0","0","1","7","2","0","0","0","0","0","116","0","0","0","0","0","0"
"408","408","8","control","0","40","2","0","0","0","2","2","0","2","0","0","0","0","93","0","0","0","0","0","0"
"409","409","8","control","0","37","2","0","0","2","4","6","2","0","0","0","0","0","67","0","0","0","0","0","0"
"410","410","8","control","0","40","1","0","0","5","5","5","2","0","0","0","0","0","48","0","0","0","0","0","0"
"411","411","8","control","0","40","1","0","1","3","5","4","3","0","0","0","0","0","14","0","0","0","0","0","0"
"412","412","8","control","0","51","2","0","1","1","0","3","5","0","0","0","0","0","4","0","0","0","0","0","0"
"413","413","8","control","0","37","2","0","0","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"414","414","8","control","0","37","2","0","1","2","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0"
"415","415","8","control","0","39","6","0","1","2","1","2","3","2","0","0","0","0","4","0","0","1","0","0","0"
"416","416","8","control","2","38","3","0","1","0","0","1","1","0","0","0","0","0","36","0","0","0","0","0","0"
"417","417","8","control","0","36","3","0","0","2","2","4","0","0","0","0","0","0","48","0","0","0","0","0","0"
"418","418","8","control","0","31","3","0","0","0","0","3","0","1","0","0","0","0","62","0","0","0","0","0","0"
"419","419","8","control","0","28","4","0","0","0","1","3","0","0","0","0","0","0","55","0","0","0","0","0","0"
"420","420","8","control","0","28","2","0","1","3","1","7","2","0","0","0","0","0","28","0","0","0","0","0","0"
"421","421","8","control","0","39","1","0","0","0","2","6","4","0","0","0","0","0","2","0","1","0","0","0","0"
"422","422","8","control","0","52","8","0","1","3","1","3","3","0","0","0","0","0","1","0","4","0","0","0","0"
"423","423","8","control","0","47","5","0","1","1","2","5","7","0","0","0","0","0","14","0","2","0","1","0","0"
"424","424","8","control","1","49","9","0","0","2","0","2","4","0","0","0","0","0","32","0","4","0","0","0","0"
"425","425","8","control","0","41","13","0","2","2","4","4","3","0","0","0","0","0","42","0","1","0","0","0","0"
"426","426","8","control","0","36","7","0","1","2","0","4","1","0","0","0","0","0","67","0","0","0","0","0","0"
"427","427","8","control","1","37","6","0","0","1","1","3","1","0","0","0","0","0","97","0","0","0","1","0","0"
"428","428","8","control","0","35","10","0","1","0","3","2","0","0","0","0","0","0","49","0","1","0","0","0","0"
"429","429","8","control","1","31","6","0","0","1","4","3","1","0","0","0","0","0","85","0","0","0","0","0","0"
"430","430","8","control","1","29","4","0","1","0","3","5","0","0","0","0","0","0","55","0","0","0","0","0","0"
"431","431","8","control","0","29","7","0","1","0","8","4","0","0","1","0","0","0","32","0","0","0","3","0","0"
"432","432","8","control","1","25","7","0","1","4","5","5","4","0","0","0","0","0","12","0","1","0","0","1","0"
"433","433","4","control","4","10","5","0","1","4","4","3","6","0","0","0","0","0","9","0","1","1","1","0","0"
"434","434","8","control","2","35","10","0","1","6","7","1","5","0","0","0","0","0","6","0","4","2","1","0","0"
"435","435","8","control","2","43","14","0","1","7","4","4","8","1","0","0","0","0","18","0","10","2","9","1","0"
"436","436","8","control","12","34","16","0","1","2","3","3","3","0","0","0","0","0","36","0","14","2","7","3","0"
